Country Name,Country Code,Indicator Name,Indicator Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.96000004,10.90799999,10.89999962,10.97399998,10.95199966,10.94699955,10.97900009,11.01299953,10.91300011,10.78199959,10.63399982,10.3760004,10.4119997,10.75,10.87899971,10.875,10.87199974,10.8920002,10.7840004,10.68400002,10.5710001,10.41600037,10.2869997,10.33100033
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,14.50500011,14.69900036,14.71000004,14.79399967,14.7329998,14.70199966,15.03600025,14.85900021,14.87699986,14.90999985,14.43099976,14.72399998,14.15400028,14.91100025,14.81499958,14.78100014,14.81999969,14.68000031,14.50500011,14.42700005,14.31400013,14.09000015,13.90600014,14.00399971
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,17.31599998,17.20700073,17.16500092,17.27300072,17.24099922,17.20999908,17.08200073,17.15299988,17.0359993,16.74699974,16.60099983,16.20599937,16.35499954,16.83699989,17.08600044,17.05999947,16.96299934,17.02599907,16.86300087,16.71199989,16.5340004,16.29700089,16.1079998,16.20400047
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,22.67200089,22.88899994,22.875,23.01000023,22.92200089,22.78100014,22.8239994,22.59399986,22.58699989,22.36599922,21.87800026,22.1590004,21.66900063,22.71299934,22.76499939,22.65999985,22.5,22.35000038,22.04999924,21.87400055,21.65699959,21.3029995,21.03499985,21.19199944
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,15.20490778,15.09044956,15.02707107,14.99231581,14.95564408,15.06195778,15.20136116,15.35322387,15.51301586,15.6859347,15.53422822,15.4026906,15.3164925,15.29997403,15.3669711,15.70325197,16.11402243,16.95932204,17.84825715,18.78620817,19.81767613,20.8970577,21.27219716,21.4470611
Afghanistan,AFG,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,,,,,,,,,,,,,40.83000183,,,,27.69000053,,,,,,,
Afghanistan,AFG,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,,,,,,,,,,,,,62.25999832,,,,62.74000168,,,,,,,
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,78.15000153,78.16899872,78.20500183,78.25099945,78.30699921,78.38200378,78.47299957,78.58000183,78.69799805,78.81999969,78.77899933,78.73100281,78.66000366,78.5510025,78.40100098,78.30200195,78.20800018,77.53500366,76.86499786,76.19799805,75.48300171,74.73500061,74.70700073,74.65799713
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,15.05000019,14.875,14.75199986,14.6789999,14.63399982,14.81999969,15.06400013,15.32299995,15.56999969,15.80099964,15.52999973,15.26799965,15.05700016,14.93799973,14.93500042,15.33899975,15.85000038,16.76499939,17.73500061,18.76000023,19.84000015,20.97299957,21.41600037,21.59499931
Afghanistan,AFG,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,,,,,,,,,,,,,,,,46.16820184,,,,,,,,
Afghanistan,AFG,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,,,,,,,,,,,,,,,,60.68917175,,,,,,,,
Afghanistan,AFG,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,,,,,,,,,,,,,,,,53.83179816,,,,,,,,
Afghanistan,AFG,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,,,,,,,,,,,,,,,,39.31082825,,,,,,,,
Afghanistan,AFG,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,,,,,,,,,,,,,,,,13.1,,,,,,,,
Afghanistan,AFG,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,,,,,,,,,,,,,,,,5.1,,,,,,,,
Afghanistan,AFG,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,26.6079998,26.63400078,26.72800064,26.81299973,26.83499908,26.79999924,27.99300003,28.38800049,28.61700058,29.10300064,29.57900047,30.44300079,31.22900009,32.8030014,34.42499924,35.65499878,37.22499847,38.74499893,40.17499924,41.65999985,43.34799957,45.20000076,45.98099899,46.5719986
Afghanistan,AFG,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,8.767999649,8.802000046,8.862000465,8.904000282,8.895000458,8.82199955,9.31099987,9.605999947,9.619999886,10.02099991,10.26399994,10.71899986,10.91399956,10.95699978,10.75500011,10.35900021,10.20499992,10.02900028,9.819000244,9.597999573,9.510000229,9.50399971,9.828000069,10.07900047
Afghanistan,AFG,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,10.81099987,10.53299999,10.27499962,9.980999947,9.619999886,9.215999603,10.25199986,10.62300014,10.88700008,11.53499985,11.88199997,12.22500038,12.39900017,13.25500011,14.06400013,14.06999969,14.90600014,15.33699989,15.67700005,15.95899963,15.99499989,16.44199944,16.42099953,16.45199966
Afghanistan,AFG,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,12.96899986,12.56999969,12.18900013,11.75800037,11.23600006,10.52700043,11.39099979,11.42199993,11.10900021,11.48799992,11.72999954,12.63300037,12.93299961,14.61600018,16.28000069,17.23900032,18.93400002,20.05800056,21.06299973,21.93300056,22.95400047,24.27899933,24.47599983,24.69099998
Afghanistan,AFG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,25.1760006,25.35300064,25.44799995,25.49399948,25.52599907,25.4810009,26.05900002,24.66200066,24.27300072,24.06200027,23.74099922,23.64699936,23.20299911,22.45400047,21.13299942,20.02099991,18.92200089,17.34399986,15.95600033,14.67800045,13.51000023,12.40100002,12.10499954,11.90299988
Afghanistan,AFG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,87.87599945,87.69200134,87.47799683,87.26399994,86.97699738,86.50099945,83.33100128,87.45600128,87.70200348,87.06199646,87.45999908,87.28199768,87.77799988,86.18599701,86.11199951,84.53399658,82.52700043,80.97000122,78.58300018,75.72599792,72.29399872,68.60900116,67.83999634,67.29000092
Afghanistan,AFG,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,9.265000343,9.140000343,9.048000336,8.953000069,8.840000153,8.717000008,9.480999947,9.590999603,9.604000092,9.784000397,9.869999886,10.08199978,10.17099953,11.25,12.3039999,13.20199966,14.36499977,15.4989996,16.61300087,17.72999954,18.89299965,20.08300018,20.1590004,20.23399925
Afghanistan,AFG,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,1.570000052,1.575000048,1.587000012,1.59800005,1.611999989,1.644000053,2.191999912,1.669999957,1.633999944,1.741000056,1.699000001,1.756000042,1.697000027,2.105999947,2.299000025,2.717999935,3.299999952,3.818000078,4.53000021,5.381000042,6.413000107,7.551000118,7.739999771,7.885000229
Afghanistan,AFG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,90.16200066,90.28899765,90.38199806,90.47600174,90.58699608,90.70799828,89.91800117,89.84200096,89.82800102,89.64200211,89.55999947,89.35000229,89.26600266,88.06899834,86.88399887,85.81499863,84.44900131,83.08900261,81.69799709,80.26299953,78.75500298,77.18800259,77.12600327,77.06500244
Afghanistan,AFG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,98.37099934,98.36600113,98.35299683,98.34200001,98.32599735,98.29299927,97.72100163,98.27100086,98.30800343,98.19799614,98.24299908,98.18499756,98.24699974,97.80599689,97.57999992,97.09499645,96.4090004,95.75700092,94.82500076,93.63999748,92.10799789,90.26300049,90.05099678,89.89300156
Afghanistan,AFG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,69.58399963,69.64299774,69.68099976,69.66300201,69.73100281,69.8010025,69.85700226,69.92500305,70.11000061,70.3219986,70.40100098,70.56199646,70.47000122,70.10700226,69.8710022,69.78700256,69.70600128,69.08999634,68.5759964,68.05699921,67.50299835,66.9509964,67.02200317,66.94499969
Afghanistan,AFG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,12.86699963,12.68799973,12.58199978,12.50699997,12.47799969,12.64099979,12.79899979,13.04599953,13.25399971,13.44499969,13.28899956,13.02000046,12.92500019,12.71100044,12.72299957,13.0710001,13.5010004,14.3039999,15.1619997,16.0529995,17,18.01799965,18.43799973,18.57099915
Afghanistan,AFG,"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,90.73500061,90.86000061,90.95200348,91.04699707,91.16000366,91.28299713,90.51899719,90.40899658,90.39600372,90.21600342,90.12999725,89.91799927,89.82900238,88.75,87.69599915,86.79799652,85.63500214,84.50099945,83.38700104,82.26999664,81.10700226,79.91699982,79.84100342,79.76599884
Afghanistan,AFG,"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,98.43000031,98.42500305,98.41300201,98.40200043,98.38800049,98.35600281,97.80799866,98.33000183,98.36599731,98.25900269,98.3010025,98.2440033,98.3030014,97.89399719,97.7009964,97.28199768,96.69999695,96.18199921,95.47000122,94.6190033,93.58699799,92.4489975,92.26000214,92.11499786
Afghanistan,AFG,"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,0.573000014,0.57099998,0.57099998,0.57099998,0.573000014,0.574999988,0.600000024,0.566999972,0.568000019,0.574000001,0.569999993,0.569000006,0.563000023,0.680999994,0.811999977,0.98299998,1.18599999,1.411999941,1.68900001,2.006999969,2.352999926,2.730000019,2.714999914,2.700999975
Afghanistan,AFG,"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,0.059,0.059,0.059999999,0.059999999,0.061000001,0.063000001,0.086999997,0.059,0.057,0.061000001,0.057999998,0.059,0.056000002,0.089000002,0.120999999,0.186000004,0.291000009,0.425000012,0.644999981,0.978999972,1.478000045,2.186000109,2.210000038,2.22300005
Afghanistan,AFG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,52.06000137,52.14899826,52.23799896,52.26100159,52.40599823,52.65000153,52.95199966,53.11600113,53.37599945,53.70800018,53.57899857,53.60400009,53.27099991,52.71500015,52.31399918,52.28300095,52.30500031,51.60100174,51.06200027,50.5379982,50.0019989,49.5,49.57400131,49.44499969
Afghanistan,AFG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,10.84399986,10.68099976,10.60499954,10.55900002,10.57800007,10.81499958,11.06900024,11.36900043,11.61499977,11.86699963,11.64000034,11.31000042,11.1420002,10.84399986,10.79599953,11.14700031,11.59899998,12.29100037,13.04899979,13.83199978,14.66499996,15.56999969,15.96199989,16.07999992
Afghanistan,AFG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,62.58100128,62.83300018,62.9980011,63.20500183,63.54399872,63.98300171,61.75500107,60.98899841,60.49599838,59.36199951,58.53900146,57.33200073,56.37200165,53.94200134,51.51200104,50.27399826,47.86800003,45.91699982,44.14799881,42.38100052,40.6570015,38.35800171,37.59799957,36.97600174
Afghanistan,AFG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,78.26300049,78.62799835,78.9489975,79.33699799,79.8690033,80.65200043,79.29799652,78.97200012,79.27100372,78.49099731,78.00499725,76.64800262,76.15399933,74.4260025,72.96600342,72.40200043,70.86100006,69.91300201,69.11799622,68.47000122,67.53600311,66.21800232,65.69599915,65.23000336
Afghanistan,AFG,"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,4.618999958,4.717999935,4.629000187,4.729000092,4.835999966,4.823999882,4.813000202,4.888000011,4.778999805,4.729000092,4.663000107,4.539000034,4.504000187,4.711999893,7.947999954,7.007999897,6.971000195,7.028999805,6.941999912,6.882999897,6.881999969,6.769000053,6.708000183,6.829999924
Angola,AGO,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,2.993999958,2.875999928,2.967000008,2.931999922,2.798000097,2.811000109,2.898999929,2.832999945,2.881999969,2.851999998,2.746000051,2.72300005,2.710000038,2.845000029,10.92199993,7.717999935,7.788000107,7.771999836,7.718999863,7.681000233,7.563000202,7.467000008,7.327000141,6.941999912
Angola,AGO,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,10.66399956,10.87300014,10.71500015,10.93799973,11.17399979,11.14000034,11.06999969,11.24199963,10.99800014,10.88000011,10.75300026,10.49499989,10.42700005,10.83100033,17.59900093,17.18799973,17.11300087,17.27599907,17.13100052,17.06299973,17.10499954,16.90099907,16.81999969,16.80200005
Angola,AGO,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,6.474999905,6.293000221,6.480000019,6.447999954,6.21600008,6.235000134,6.354000092,6.282999992,6.337999821,6.267000198,6.081999779,6.028999805,6.020999908,6.336999893,21.19000053,16.59300041,16.71999931,16.75900078,16.70199966,16.70100021,16.53899956,16.37299919,16.15200043,15.22799969
Angola,AGO,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.612769,48.71227471,48.81754198,48.92032869,49.02418502,49.09795851,49.19827101,49.27707639,49.37778419,49.48595087,49.56430127,49.65430932,49.73593129,49.78630418,49.84620479,49.86652018,49.91013291,49.95379286,50.00355699,50.05091396,50.09830855,50.15490459,50.21146771,50.25306367
Angola,AGO,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,80.0490036,79.93199921,79.79399872,79.64900208,79.47299957,79.41699982,79.22399902,79.12200165,78.9469986,78.76000214,78.76100159,78.73000336,78.72399902,78.83000183,78.8710022,79.02899933,79.07700348,79.12000275,79.11599731,79.10500336,79.1309967,79.07099915,78.98100281,78.91300201
Angola,AGO,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,75.68900299,75.67199707,75.66200256,75.65000153,75.62400055,75.61299896,75.56300354,75.54100037,75.51200104,75.49299622,75.52400208,75.55999756,75.61100006,75.69599915,75.76699829,75.85099792,75.91000366,75.97100067,76.01899719,76.06500244,76.10800171,76.12999725,76.14199829,76.13600159
Angola,AGO,"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS,,,,,,24.7,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS,,,,,,28.4,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS,,,,,,75.3,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS,,,,,,71.6,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,,,,,,30,,,,,,,,,,,,,,,,,,
Angola,AGO,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,,,,,,30.1,,,,,,,,,,,,,,,,,,
Angola,AGO,"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,53.97700119,54.05500031,54.22000122,54.5530014,54.81600189,54.74700165,55.07699966,55.24399948,55.5379982,53.69100189,51.64599991,49.59799957,47.64899826,45.50899887,43.17300034,40.76100159,40.57799911,40.4620018,40.29600143,40.17200089,40.05699921,40.26599884,40.33499908,40.45500183
Angola,AGO,"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,50.93899918,51.60800171,52.11600113,52.2879982,52.66400146,53.44400024,54.14400101,54.25899887,53.93399811,52.23300171,50.66799927,49.08599854,47.47100067,45.97200012,43.3390007,40.87799835,40.48300171,40.57400131,40.91500092,41.37599945,41.65299988,41.87799835,42.21300125,42.5320015
Angola,AGO,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,15.43599987,15.66399956,15.91300011,15.57699966,15.53499985,15.61499977,16.17700005,16.04100037,16.31699944,16.02000046,15.65200043,15.37300014,14.73099995,14.29500008,14.27400017,14.72200012,15.42599964,15.74800014,16.02700043,16.03000069,15.86200047,15.59799957,15.31299973,15.20199966
Angola,AGO,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,1.860999942,1.889999986,1.911000013,1.842000008,1.812999964,1.827000022,1.876999974,1.832999945,1.835999966,1.707000017,1.587000012,1.488000035,1.361999989,1.276000023,1.161999941,1.11500001,1.144000053,1.154999971,1.167999983,1.171000004,1.162999988,1.133999944,1.113999963,1.105000019
Angola,AGO,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,3.200999975,3.08100009,2.951999903,2.819999933,2.661999941,2.513000011,2.309999943,2.266000032,2.089999914,2.582999945,3.285000086,4.078999996,5.106999874,6.458000183,7.862999916,9.512999535,9.112999916,8.904000282,8.637999535,8.454999924,8.269000053,7.986000061,7.777999878,7.543000221
Angola,AGO,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,9.406999588,9.027999878,8.680999756,8.340999603,8.038999557,7.756000042,7.545000076,7.178999901,6.96999979,7.649000168,8.357000351,9.152000427,9.897999763,10.52299976,11.40600014,12.12699986,11.96700001,11.62800026,11.36900043,11.04500008,10.73900032,10.5539999,10.30900002,10.10400009
Angola,AGO,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,46.31100082,46.66400146,46.99100113,47.33100128,47.71500015,48.07400131,48.54700089,48.79100037,49.22499847,48.2519989,47.0359993,45.80099869,44.4280014,42.86500168,41.00999832,39.56999969,39.94499969,40.2159996,40.51399994,40.75299835,40.99200058,41.2879982,41.5379982,41.83399963
Angola,AGO,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,20.24600029,20.57500076,20.86700058,21.17399979,21.45499992,21.71100044,21.8920002,22.27599907,22.4659996,21.58499908,20.71800041,19.80200005,18.9659996,18.23699951,17.13299942,16.48399925,16.57600021,16.78000069,16.93600082,17.13299942,17.32699966,17.44499969,17.60499954,17.76000023
